Respondent_ID,True_Segment,Employment_Status,Industry_Sector,Org_Level,Work_Experience_Years,Org_Size,Age_Band,Gender,Prior_AI_Experience,Change_Frequency,AI_Strategy_Communicated,Training_Received,AI_Usage_Hours_Monthly,SEMDIFF_Trust,SEMDIFF_Empower,SEMDIFF_Intuitive,Rank_Training,Rank_Leadership,Rank_Evidence,Rank_JobSecurity,Rank_Peer,Scenario_Response,Barrier_Category,LEAD_1,LEAD_2,LEAD_3,MGMT_1,MGMT_2,CULT_1,CULT_2,CULT_3,PSAFE_1,PSAFE_2,CFAT_1,CFAT_2,RES_1,RES_2,RES_3,COMM_1,COMM_2,TRAIN_1,TRAIN_2,TRAIN_3,LIT_1,LIT_2,LIT_3,DLIT_1,DLIT_2,TRUST_1,TRUST_2,TRUST_3,ANX_1,ANX_2,PU_1,PU_2,PU_3,PEOU_1,PEOU_2,JSEC_1,JSEC_2,COLLAB_1,COLLAB_2,INFRA_1,INFRA_2,ENG_1,ENG_2,DCONF_1,DCONF_2,INTENT_1,INTENT_2,Leadership_Readiness_Score,Training_Quality_Score,AI_Trust_Score,Resistance_Score,Change_Fatigue_Score,Digital_Confidence_Score,Behavioural_Adoption_Intent_Score,AI_Readiness_Index,Digital_Maturity_Index,AI_Transformation_Readiness_Score,AI_Adopter_Flag,Contradictory_Response_Flag
1,Change Fatigued,Currently a student with prior work experience,IT / Technology,Senior Manager / Director,6 to 10 years,"201 to 1,000",25 to 34,Female,"Yes, occasionally",Often (4 to 6 times),"No, there is no visible AI strategy",No training received,0.8,3,2.0,3.0,1,4,5,2.0,3.0,Raise a concern with my manager about the lack of preparation,No real barrier / fully ready,2,3,3,4.0,4.0,4,4,3,4.0,4.0,4.0,5.0,3,3,2,3,2,2,2,1,3.0,3.0,3,2.0,2.0,2,3,3,3,3,3,3,2,2,2,3.0,2.0,2.0,3.0,4.0,3.0,2,2,3,2,3,2,50.0,9.92,41.67,40.0,87.5,31.25,30.15,40.0,34.15,52.62,0,0
2,Cautious Pragmatist,Full-time employed,IT / Technology,C-Suite / Executive,11 to 15 years,"More than 10,000",25 to 34,Female,"Yes, occasionally",Often (4 to 6 times),"No, there is no visible AI strategy",Informal / self-directed learning only,1.2,3,3.0,3.0,3,2,5,1.0,4.0,Try to figure it out myself immediately,Lack of training,3,3,3,,4.0,4,3,4,4.0,4.0,,3.0,3,3,3,3,3,3,3,4,2.0,3.0,3,3.0,4.0,2,3,3,2,1,2,3,4,2,2,3.0,3.0,2.0,3.0,3.0,3.0,3,4,3,3,4,4,57.14,42.58,41.67,50.0,50.0,56.25,69.39,50.0,45.78,65.12,1,0
3,Change Fatigued,Full-time employed,Banking & Financial Services,Team Lead / Supervisor,More than 15 years,"More than 10,000",Under 25,Male,"Yes, occasionally",Often (4 to 6 times),"No, but it is rumoured / informally discussed",Informal / self-directed learning only,3.3,2,2.0,2.0,1,2,4,5.0,3.0,Try to figure it out myself immediately,Fear of job loss,4,4,5,3.0,3.0,4,3,3,3.0,3.0,3.0,3.0,4,3,4,3,2,2,1,2,3.0,3.0,2,3.0,3.0,2,2,2,2,3,3,2,2,2,2,2.0,3.0,3.0,2.0,4.0,4.0,2,2,2,2,2,3,60.71,12.17,25.0,55.0,50.0,37.5,34.77,35.0,48.91,52.21,0,0
4,Change Fatigued,Part-time employed,Retail & E-commerce,Senior Manager / Director,2 to 5 years,50 to 200,45 to 54,Male,"Yes, occasionally",Constantly (more than 6 times),"Yes, but only in general terms",Informal / self-directed learning only,4.0,2,3.0,3.0,2,4,5,3.0,1.0,Wait for formal instructions before using it,Lack of training,3,3,4,2.0,2.0,3,3,3,3.0,3.0,5.0,4.0,4,3,3,2,1,2,1,1,3.0,3.0,4,2.0,3.0,3,2,3,4,3,2,2,2,4,3,4.0,3.0,4.0,2.0,4.0,4.0,3,3,1,2,3,2,35.71,6.08,41.67,60.0,87.5,25.0,43.12,40.0,43.67,37.76,0,0
5,AI Champion,Full-time employed,Manufacturing,Middle Manager,6 to 10 years,50 to 200,35 to 44,Male,"Yes, occasionally",Never,"Yes, clearly and in detail","Yes, structured and ongoing training",7.2,4,4.0,4.0,1,5,3,4.0,2.0,Ask a colleague for help before trying it,,4,4,4,4.0,4.0,4,5,4,3.0,4.0,2.0,2.0,1,1,1,4,5,5,5,4,5.0,4.0,5,4.0,4.0,5,4,5,1,1,5,4,3,4,5,2.0,1.0,5.0,1.0,4.0,4.0,3,4,3,4,5,4,78.57,91.67,91.67,5.0,25.0,68.75,62.78,87.5,71.17,71.16,1,0
6,Digital Resister,Full-time employed,Other,Individual Contributor,6 to 10 years,"1,001 to 10,000",25 to 34,Male,"Yes, only once or twice",Constantly (more than 6 times),"Yes, but only in general terms",Informal / self-directed learning only,1.0,1,2.0,1.0,4,5,3,1.0,2.0,Try to figure it out myself immediately,Lack of leadership support,1,2,2,2.0,3.0,3,3,3,3.0,3.0,3.0,4.0,5,5,5,2,2,2,2,2,2.0,2.0,3,3.0,2.0,2,4,3,3,4,1,1,1,1,1,2.0,3.0,1.0,5.0,2.0,2.0,2,1,3,3,2,2,25.0,18.25,50.0,75.0,62.5,43.75,21.76,22.5,31.59,14.81,0,0
7,Change Fatigued,Full-time employed,Retail & E-commerce,Middle Manager,2 to 5 years,"More than 10,000",35 to 44,Male,"Yes, only once or twice",Constantly (more than 6 times),"No, but it is rumoured / informally discussed",No training received,4.0,3,3.0,3.0,1,5,4,2.0,3.0,Ask a colleague for help before trying it,Distrust of AI accuracy,2,2,2,2.0,1.0,4,3,3,3.0,3.0,,4.0,3,3,4,2,3,3,3,3,2.0,3.0,3,4.0,2.0,3,3,3,1,3,3,3,3,3,3,4.0,5.0,2.0,4.0,3.0,1.0,2,1,3,3,3,3,25.0,29.75,50.0,70.0,87.5,50.0,45.57,55.0,43.67,35.8,0,0
8,Change Fatigued,Full-time employed,Insurance,Team Lead / Supervisor,,"201 to 1,000",35 to 44,Female,"Yes, occasionally",Often (4 to 6 times),"No, there is no visible AI strategy",No training received,3.0,2,,,2,5,4,1.0,3.0,Raise a concern with my manager about the lack of preparation,,2,1,2,3.0,2.0,3,3,3,1.0,1.0,4.0,4.0,3,3,3,2,2,2,1,2,3.0,3.0,3,3.0,3.0,3,3,3,5,4,2,4,2,1,2,3.0,4.0,2.0,4.0,2.0,2.0,2,2,4,2,3,3,25.0,9.92,50.0,55.0,75.0,50.0,65.72,32.5,41.45,54.48,0,0
9,Transformation Leader,Full-time employed,Banking & Financial Services,Middle Manager,11 to 15 years,"1,001 to 10,000",25 to 34,Female,"Yes, only once or twice",Never,"Yes, clearly and in detail","Yes, structured and ongoing training",8.0,5,5.0,4.0,1,3,2,5.0,4.0,Ask a colleague for help before trying it,Poor infrastructure / tools,5,5,4,4.0,4.0,4,4,5,5.0,4.0,,2.0,1,1,1,4,4,4,4,4,5.0,4.0,5,5.0,3.0,4,4,3,2,2,5,5,5,4,5,2.0,3.0,3.0,2.0,3.0,3.0,4,4,4,4,5,4,82.14,75.0,66.67,15.0,12.5,75.0,77.45,82.5,68.58,66.8,0,0
10,Cautious Pragmatist,Currently a student with prior work experience,Government / Public Sector,Senior Manager / Director,2 to 5 years,"1,001 to 10,000",25 to 34,Female,"Yes, occasionally",Rarely (once),"Yes, clearly and in detail",No training received,5.2,4,3.0,3.0,1,3,4,5.0,,Wait for formal instructions before using it,Poor infrastructure / tools,2,2,2,4.0,4.0,4,3,4,4.0,3.0,3.0,4.0,3,2,2,4,3,2,2,2,3.0,2.0,3,3.0,4.0,2,3,2,2,3,2,3,3,3,3,4.0,3.0,1.0,5.0,2.0,3.0,5,4,3,3,3,3,50.0,14.88,33.33,45.0,62.5,56.25,46.87,45.0,52.18,46.42,1,0
